2/3 There ,2.3795692534516875e+24,2.0238667852863126e+24,P
Remarkable,6.852915491801112e+22,5977181225059465.0,P
Oh yeah, s,13434879432.94,11316653464.4,P
Best quali,128.27,22812.91,N
@dunkie_c ,6.57565489849242e+29,1.2345643877747571e+25,P
Retail sto,3.26369360922711e+21,2.7847918952612024e+21,P
Didn't thi,1.1198086265413478e+22,9.493527364868634e+21,P
Covid 19 m,6983874874.81,5939912416.7,P
I m workin,5.056533318394192e+26,9.493526696869033e+21,P
#Covid-19 ,1141208200.34,973751748.09,P
Could you ,3.263693449122981e+21,2.784791766619425e+21,P
Me: Did y,9.399102650219178e+19,1753321411943429.8,P
Can't find,2.299294259040622e+17,1.9619047706978077e+17,P
This could,7.22770252694349e+16,1.306286393479991e+19,N
So We went,2.1800660613185492e+23,1.8541857169146092e+23,P
If you're ,1929910254481808.2,1646722696704521.0,P
me on the ,492018.71,418470.84,P
What is wr,6.575655649908117e+29,5.610769560472464e+29,P
is it safe,1141208159.89,973751692.55,P
The govern,2.990065143769484e+20,2.551314619351399e+20,P
Just so we,135963482366.6,116012730103.51,P
If you wou,7.480043004872322e+23,2.965062107844278e+21,P
Tips from ,99131409957623.64,84313062009510.28,P
NO #toilet,1.1198086376847718e+22,9.493527449032678e+21,P
Even thoug,7.227701962239861e+16,287428421290632.25,P
In light o,4.244196482701142e+24,1.6987306169133741e+22,P
Two import,1.0259237759851198e+21,8.697589367660505e+20,P
The pandem,5.269740556320817e+19,2.0238667298377066e+24,N
No #HandSa,99131410365006.25,84313061445803.83,P
Dont go t,99131411106953.7,1.7974184571263398e+16,N
My questio,4.052314292741169e+16,7.30031285668224e+18,N
Virus atta,1484058457594.01,1266293493720.96,P
@jamusgit ,31161401546365.65,123522671261.0,P
LOOK: Shop,1.5358712943205423e+19,1.3062864067305472e+19,P
#Covid_19 ,17471084968771.73,69031894073.47,P
The corona,1.6764226975382825e+20,1.4258279372120213e+20,P
Hi all! Pl,9.399102869425134e+19,3.737798434531476e+17,P
Added some,1.6764226033015053e+20,1.4258278373810635e+20,P
Food bank ,135963483075.15,116012730563.43,P
This month,2195341996.96,1855180655.83,P
The situat,2.1800660322341977e+23,1.8541856999412897e+23,P
Our chief ,3915609010.7,707680855729.15,N
We re work,2.990065009628514e+20,2.551314460962089e+20,P
The people,2.73937800379501e+19,2.3374123404030157e+19,P
How many @,5.519269745769563e+27,4.7093934956666793e+27,P
This panic,4.6325938013061e+25,3.952825092268203e+25,P
One month ,2.1800660392780672e+23,1.8541856889534185e+23,P
Have a tri,7.177409496661001e+30,6.124224248761978e+30,P
NYC Water.,1.3341394668681072e+24,1.131058433780517e+24,P
Son in-law,3.562362134570667e+22,3.0396349794428645e+22,P
Off to do ,76229864601.7,13821750809526.01,N
No panic b,99131408373851.33,84313063176656.36,P
DONT FORGE,1.535871278770001e+19,6.127510616733902e+16,P
Question: ,3.5623621624530892e+22,3.0396349188868317e+22,P
@sainsbury,55579436575662.16,1.0045053810160524e+16,N
14 major U,99131414389626.58,84313066454101.27,P
SEEKING: E,12456429857.16,10628621679.22,P
The #Coron,4.632593449499178e+25,1.8541857138454376e+23,P
Hey fun fa,3.888363176064048e+23,3.317799872006771e+23,P
Food shopp,1082031645387659.5,920287567003296.4,P
This is a ,5.519269607899854e+27,4.7093934075602106e+27,P
Empty shel,14169.63,11974.09,P
Im so gla,3.2636934098744535e+21,2.784791663666617e+21,P
Live in th,2.3795692789263814e+24,2.0238668031572004e+24,P
@ABC7 #abc,4223179286.91,3.424421166404393e+16,N
? New Podc,503149373913.92,1975273754.99,P
There´s a ,1.4071037067232067e+18,1.1967672329917793e+18,P
After the ,4.052314355873929e+16,3.4244210327444988e+16,P
If someone,176810651983158.7,150866142365906.78,P
@dexcom G6,1.2738223657083984e+16,50169410501280.2,P
BROOKLYN! ,12456429489.62,49856594.8,P
Went to st,3.094457311701848e+27,1.2345643900364704e+25,P
Get a lot ,9.333700023278236e+33,7.964109094409807e+33,P
The @FTC w,8.611081483071897e+18,7.300313374874538e+18,P
When you o,190699074040727.9,3534468955.36,P
Empty shel,5.056533554025278e+26,9.493527252351635e+21,P
Please ple,1.997289087984304e+22,1.6987306086479266e+22,P
#Covid_19 ,1.9972891746925554e+22,1.6987306572200012e+22,P
This #coro,3.263693440051926e+21,2.784791754283468e+21,P
@realDonal,1.7349515165245473e+27,3.1356348663018328e+29,N
Gov advice,1.1198086128302184e+22,9.493527431640653e+21,P
Most frust,7.889127598490694e+17,1.4258278861122816e+20,N
The more I,2.180066297196084e+23,3.952825187362802e+25,N
If youre ,42739359761.85,36233627624.86,P
NO BREAD, ,106918156431864.61,1.913772236834518e+16,N
Avoiding O,1141208155.85,973751693.36,P
@dylanistw,16198682540940.23,13821750991415.92,P
@Safeway d,58619084.96,10628621574.22,N
My opinion,1.2222850020076013e+23,1.0362303025651581e+23,P
Felt a bit,4.423151778197194e+17,1.6987305888248158e+22,N
Heartfelt ,3.562362006315177e+22,1.4258278020631049e+20,P
Went to th,466505457323.36,84313061135392.28,N
It is not ,4.423151882012576e+17,3.737798380741452e+17,P
We now hav,2.739377894945154e+19,2.3374122269476782e+19,P
Seattle Co,1082031743884747.0,920287641863021.6,P
How about ,1.5358712249834406e+19,1.3062863299742919e+19,P
Just been ,466505446149.47,395494564742.1,P
Please ple,2.3795693910764367e+24,2.0238669398891333e+24,P
If you are,1.6764226594641592e+20,1.4258278802833428e+20,P
