Me, ready ,353673082584982.56,298872555202222.6,P
For corona,1.902692018821299e+21,1.618274063653545e+21,P
with 100  ,2462059978.24,437862603987.69,N
@10Downing,1.2280751297913252e+16,1.0445002003913862e+16,P
In prepara,2.390841629135126e+17,956929307049869.0,P
This morni,1.5970226419008776e+19,1.3582967397562909e+19,P
Do you see,2164380248778924.5,1823130691344110.2,P
@7SealsOfT,2968551470303.46,2508583764580.26,P
There Is o,5584272.11,4749524.83,P
We're sorr,6885378384767306.0,5837294601458804.0,P
my wife wo,1.9691206224818375e+28,3.5588562364708216e+30,N
CHECK VIDE,4.599261830956528e+17,3.8866207481018246e+17,P
South Afri,141376935016.25,120631834415.35,P
"Everythin,7.515476576481563e+16,6.371480190817129e+16,P
Why we sto,3.704199115353566e+22,3.1606593484308273e+22,P
Global foo,4.8170422474536325e+25,1.9280109742775017e+23,P
Of all the,2.8484473881926525e+19,2.4304773262121665e+19,P
Consumer C,1543146874899.22,1316711494818.35,P
Bought a h,5584272.28,1012522076.46,N
Seen in a ,8.203236869265047e+17,3.1606594891665847e+22,N
@BobJLowe ,44441047132.0,8031976190184.34,N
The action,3.7041990851660276e+22,3.1606592794500186e+22,P
Coronaviru,1.2280752296118204e+16,2.2267060413849336e+18,N
@TheJoshua,2282750502.27,1929045495.15,P
An open le,9.773331911779996e+19,8.285647452157187e+19,P
#COVID?19 ,183850441327797.75,156872940988250.8,P
Sadly, thi,103078361066279.39,87670016282383.39,P
In attempt,6022915.12,1078066437.23,N
Please don,8.20323671520267e+17,3.160659452209278e+22,N
People see,2282750380.49,1929045408.92,P
As we ofte,2.390841556893766e+17,2.0400187515819386e+17,P
@joncooper,1.3872588038586913e+24,2.5072382984005695e+26,N
I hate gro,1.2280752270335592e+16,1.0445002649770538e+16,P
Rapid deli,1.7431701305646278e+20,1.482597833091244e+20,P
Maybe the ,4.759835132482738e+24,8.547330050866874e+26,N
Amid 'soci,108715738.15,92763213.36,P
They shoul,2968551562593.9,534789593903152.5,N
New @CSPI ,2.474312831386489e+24,4.486343415439193e+26,N
More idiot,2.3908415129770144e+17,2.0400187258895702e+17,P
CONGRESS (,2164380150326493.0,3.8866202420149024e+17,N
@AirCanada,485079577975.36,411241368260.03,P
If you tem,141376925417.97,120631825102.24,P
If youre ,1.4631281962613924e+18,2.6528963652327355e+20,N
NYS is awa,3.3936387346189276e+21,2.8956693743285237e+21,P
#unpopular,4071510660.11,735857471097.52,N
Will katie,865187271218.03,735857481899.52,P
My office ,865187268525.64,156872938215081.84,N
?CONSUMER ,1.2709508643945263e+23,4.8968997708032154e+27,N
23:31 #Ken,1.7431701555679717e+20,1.4825978805400823e+20,P
it's a bad,3.3936390076312574e+21,1.3582967962930295e+19,P
World lead,4.213659076354784e+16,3.5607659073474744e+16,P
Plus side ,6.26421379866409e+28,2.5072382467673083e+26,P
I am heari,1.3404594415818691e+17,1.1400850851220808e+17,P
So food ba,2.700743432129252e+25,1.077488376523509e+23,P
Things I m,1380388984.42,244703920210.04,N
Televangel,1.228075165819829e+16,1.0445002247440602e+16,P
COVID-19 R,1.270950893114681e+23,2.2970312133286053e+25,N
Here is a ,1.743170171789856e+20,3.160659376544463e+22,N
.@bbchealt,2.390841569234618e+17,2.0400187368490896e+17,P
Although p,4.043179635233352e+23,1.618274067190171e+21,P
I haven't ,2.2668663715686222e+23,4.110208254166201e+25,N
Mass hyste,3.7041993239822512e+22,1.4825979413772848e+20,P
What's the,1.743170153413703e+20,1.4825978786361898e+20,P
Consumer-d,183850435356505.0,156872935757023.16,P
How to Avo,141376943772.51,120631840946.46,P
When panic,2006750565221080.8,1712287818710842.8,P
"I already,141376927316.72,120631826779.97,P
Why dont ,6.837468142307345e+29,2.7366820919025147e+27,P
Panic buyi,1.5780566237209213e+18,2.8246287756391665e+20,N
With the i,353673065336964.8,6.371480156813048e+16,N
Its Panic,15891.14,13256.84,P
@MarkHopla,5294704060840.31,956929221870283.8,N
#Fashions,6885378814190316.0,1.2444170825154898e+18,N
#Ulta temp,4071510851.51,735857503815.62,N
To 'The St,1.5142103692096273e+25,2.7366820888879177e+27,N
@HeriOnlin,2.190393161697223e+16,1.8689833664448996e+16,P
